Sheet index,Component / Feature,In Builder,Builder component(s),Notes
0,Hierarchical Hub System,No,"",No matching implementation found
1,Breadcrumb Trail,No,"",No matching implementation found
2,Standard Section Wrappers,Yes,page-content,Direct on-page content component
3,Evolving Page Lifecycle,No,"",No matching implementation found
4,Hero Banner Block,Yes,hero,Direct match
5,Latest News Feed,Yes,feed,Feed supports article lists and filters
6,Filtered Article Feed,Yes,feed,Feed supports filter configuration
7,Curated Recommendation Section,Yes,content-carousel,Registered catalogue component
8,Chronological Timelines,Yes,timeline,Direct match
9,Outbound / Cross-Hub Referrals,No,"",No dedicated referral component found
10,Roundup,No,"",No matching implementation found
11,Featured Articles,Yes,featured-article,Direct match
12,Upcoming Releases Scroll,No,countdown,"Countdown exists locally, but is not registered in catalogue"
13,Upcoming Events & Reminders,No,"",No matching implementation found
14,In-Hub Newsletter/Account Reg CTA,No,"",No matching implementation found
15,In-Feed Polls & Quizzes,Yes,inline-poll,Direct match for polls; quiz flow is not present
16,Inline Quiz + Comment Loop,No,"",No complete matching implementation found
17,Dedicated Kwizly Landing Pages,No,"",No matching implementation found
18,Kwizly CTA Block,No,"",No matching implementation found
19,Trending Community Opinions,No,stance,"Stance is registered, but this broader trending-opinions feature is not"
20,Highlighted User Comments,No,"",No matching implementation found
21,Article Cards Social Proof,No,article-card,"Article card is registered, but has no social-proof fields"
22,Stances/Opinions,Yes,stance,Direct match
23,Long-Form Video Player,Yes,featured-article,Supports YouTube video mode; not a standalone player
24,Vertical Video Reels,Yes,vertical-video,Direct match
25,Inline Image Galleries,Yes,image-gallery,Direct match
26,Since You Were Last Here Stories,No,"",No matching implementation found
27,Editor/Author Cards,No,editor-highlight,"Built locally, but not registered in catalogue"
28,Author Highlight & Expanded Bios,No,editor-highlight,"Built locally, but not registered in catalogue"
29,Recommendations,No,"",No matching implementation found
30,Community Badges & Flairs,No,"",No matching implementation found
31,Contributor Leaderboards,No,contribution-tracker,"Contribution tracker is registered, but is not a leaderboard"
32,Latest Reviews Grid,Yes,game-review,Review component is registered; grid layout is not confirmed
33,Deals Card Module,No,products,"Built locally, but not registered in catalogue"
34,Key Game Info Block,Yes,key-info,Direct match
35,Interactive Data & Ranking Tables,Yes,rankings-table,Registered rankings/table component
36,Aggregated Review Data,No,"",No matching implementation found
37,Steam Playing Data,Yes,steam-data,Direct match
38,Section & Page Sponsors,No,"",No matching implementation found
39,Inline ads,No,"",No matching implementation found
40,Gated Content,No,"",No matching implementation found

Components currently registered in builder catalogue,Status,Component ID,Notes
"",Yes,stance,Registered in builder/catalogue.json
"",Yes,featured-article,Registered in builder/catalogue.json
"",Yes,contribution-tracker,Registered in builder/catalogue.json
"",Yes,rankings-table,Registered in builder/catalogue.json
"",Yes,inline-poll,Registered in builder/catalogue.json
"",Yes,game-review,Registered in builder/catalogue.json
"",Yes,key-info,Registered in builder/catalogue.json
"",Yes,timeline,Registered in builder/catalogue.json
"",Yes,image-gallery,Registered in builder/catalogue.json
"",Yes,page-content,Registered in builder/catalogue.json
"",Yes,vertical-video,Registered in builder/catalogue.json
"",Yes,steam-data,Registered in builder/catalogue.json
"",Yes,feed,Registered in builder/catalogue.json
"",Yes,hero,Registered in builder/catalogue.json
"",Yes,article-card,Registered in builder/catalogue.json
"",Yes,content-carousel,Registered in builder/catalogue.json

Local components not yet registered in builder catalogue,Status,Component ID,Action needed
"",Built - not registered,countdown,Add to builder/catalogue.json if it should be available
"",Built - not registered,discover-hubs,Add to builder/catalogue.json if it should be available
"",Built - not registered,editor-highlight,Add to builder/catalogue.json if it should be available
"",Built - not registered,products,Add to builder/catalogue.json if it should be available
